Part Number,Qty Ordered,UM_Multiplier
 ,0,1
CABLE-BK,102,1
EX-CNT,102,1
EX-G14-FR,51,1
EX-LSK-BK,51,1
EX-OR-22,102,1
EX-SCR,204,1
EX-UB-WW,51,1
RV-SEAL,102,1
EX-USK-BK,51,1
MARK,0,1
 ,1,1
LOT,0,1
T24-300,1,1
 ,0,1
TLED-WW-HB,1147.41,1
FLBK-160-HM,600.423,1
WP-L01C,1147.41,1
EC-FL,20,1
MARK,0,1
 ,0,1
LDR8-40,10,1
FLBK,20,1
EC-FL,124,1
FLWG,1240,1
 ,0,1
 ,0,1
EC-FL,124,1
NSY-TP,31,1
HC-10/BOX-GSKT,31,1
HC-10/PLUG,124,1
LDR8-80,31,1
FLWG-160-HM,6200,1
TLED-IW-HB,11842,1
MARK,0,1
WP-L01C,11842,1
LOT,0,1
EX-S14-CL,178.5,1
EX-SCR,714,1
EX-UB-WW,178.5,1
T24-300/277,2,1
EX-USK-BK,178.5,1
EX-MDA-BK,183,1
ECD-BK,29,1
 ,0,1
CABLE-BK,357,1
EX-CNT,357,1
EX-LSK-BK,178.5,1
T24-150/277,3,1
 ,0,1
MARK,0,1
EX-OR-22,357,1
RV-SEAL,357,1
 ,0,1
EX-MDA-BK,466,1
MARK,0,1
 ,1,1
LOT,0,1
CABLE-BK,466,1
EX-LSK-BK,466,1
EX-OR-22,932,1
EX-SCR,1864,1
EX-SPH-CL,466,1
EX-CNT,932,1
RV-SEAL,932,1
EX-USK-BK,466,1
EX-VI-IW,466,1
T24-150,10,1
RV-CONTACT,884.5,1
RV-ORING,442.25,1
RV-BL-SP,442.25,1
RV-SCREW,1767.55,1
CABLE-BK,145,1
RVC-EC,12,1
MARK,0,1
 ,1,1
MISC,2,1
AV-CH,145,1
MISC,145,1
 ,0,1
LOT,0,1
T12-300,1,1
WFL-108,3,1
T12-150,5,1
RV-USKT,442.25,1
RV-LSKT,442.25,1
RV-SEAL,442.25,1
HC-10/BOX-GSKT,2,1
HC-10/PLUG,8,1
LDR8-40,2,1
LOT,0,1
FLBK,20,1
 ,0,1
MARK,0,1
FLBK-310-HM,328,1
WP-L01C,321.44,1
KLED-WW-SF,321.44,1
NSY-TP,1,1
MARK,0,1
EX-CNT,145.2,1
EX-SPH-FR,72.6,1
EX-MDA-BK,74,1
EX-SCR,290.4,1
EX-OR-22,145.2,1
T24-150,1,1
CABLE-BK,110,1
ECD-BK,2,1
EX-USK-BK,72.6,1
EX-LSK-BK,72.6,1
RV-SEAL,145.2,1
EX-UB-IW,72.6,1
LOT,0,1
 ,0,1
 ,0,1
LC-GR-DP,1,1
CABLE-CAT5-25,1,1
ECL-WH,1,1
EC-FL,2,1
SRP,1,1
GRX-CON,1,1
WF-CL50,0.02,1
 ,0,1
MARK,0,1
GRX-LVR,20,1
 ,0,1
 ,0,1
GRX-LVR-BK,5,1
GRX-3000-15D-300,5,1
GRX-LVR-SCREW,30,1
GRX-3000-15D-600,1,1
GRX-LVR-BK,2,1
GRX-LVR,8,1
GRX-LVR-SCREW,11,1
GRX-3000-15D-1200,6,1
GRX-LVR-BK,24,1
GRX-LVR,96,1
GRX-LVR-SCREW,126,1
GRX-Y-CON,11,1
GRX-EC,11,1
LDR24-192,11,1
ENCL12124,1,1
LDR24-16,1,1
LC-1CH-MULTI,1,1
LV-CON,5,1
LV-CH-WH,39.5,1
LV-BKT,60,1
 ,0,1
 ,0,1
TLN-CP-MG,32,1
TLN-SILICONE,0.73,1
LV-WFL,0.044,1
LV-SCR-SV,4,1
LV-ECR,4,1
LV-CON,2,1
 ,0,1
LV-CVR,9.4,1
LV-CH-WH,9.4,1
LV-BKT,14,1
LVM-4000K,14,1
LVM-4000K,60,1
LV-LTC,30,1
LV-WFL,0.185,1
LV-SCR-SV,10,1
TLN-DSTAPE,1.168,1
LV-ECR,10,1
LV-CVR,39.5,1
LC-1CH-MULTI,6,1
MARK,0,1
TLN-4000K,6.716,1
LDR24-96,4,1
TLN-BASE,9.49,1
 ,0,1
TLN-CVR-CL,9.49,1
TLN-JW,146,1
LDR24-96,6,1
LC-1CH-MULTI,4,1
 ,1,1
LOT,1,1
LV-LTC,8,1
 ,0,1
CABLE-BK,400,1
EX-UB-IW,264,1
EX-CNT,528,1
EX-G14-CL,264,1
EX-LSK-BK,264,1
EX-OR-22,528,1
EX-SCR,1056,1
EX-USK-BK,264,1
RV-SEAL,528,1
EX-MDA-BK,267,1
EX-WR,425,1
ECD-BK,4,1
T24-300,1,1
MARK,0,1
 ,0,1
T24-150,2,1
CABLE-BK,68,1
RV-3000-SP,138.04,1
RV-CONTACT,276.76,1
RV-LSKT,138.04,1
RV-ORING,138.04,1
RV-SCREW,552.84,1
