Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level
1234N1203,0,0,0
AV-201,8612.07,0,1000
AV-BASE-BK,17811.19,0,5000
AV-BASE-SNAP,17258.415,0,10000
AV-BASE-WH,49000.461,0,25000
AV-BOX,161,0,100
AV-CH,5108,0,1500
AV-CH-BK,0,0,0
AV-CH-PA,667,0,0
AV-CH-PG,1575,0,0
AV-CH-SA,51.66,0,500
AV-CH-WH,1159.501,0,500
AV-CL,257,1000,1000
AV-CONN,13092,0,5000
AV-CONTACT,96786.664,0,50000
AV-CV-CL,3359.999,0,1500
AV-CV-WH,2041.495,0,1500
AV-EC-BK,725,0,125
AV-EC-SV,451,0,125
AV-EC-WH,202,0,125
AV-LCH,10834,0,1500
AV-LCH-BK,1049.7,0,0
AV-LCH-PA,199.995,0,0
AV-LCH-PG,1099.64,0,0
AV-LCH-SA,4390.2,0,500
AV-LCH-WH,583.45,0,500
AV-LEC-BK,1924,0,125
AV-LEC-SV,510,0,125
AV-LEC-WH,872,0,125
AV-LNS,26545,0,4000
AV-MC,2539.397,0,2500
AV-MC-BK,4367,0,1000
AV-MS,292,5000,1000
AV-RB-BK,13295,0,2500
AV-RB-WH,5683,0,5000
AV-RF,64842.696,0,2500
AV-RF-A,4268,0,2500
AV-RF-S,18223,0,5000
AV-TOWER-BK,15075,0,5000
AV-TOWER-WH,48711.466,0,25000
AVLED-4000K,0,0,0
AVLED-IW,7695,0,5000
AVLED-KC,2900,0,2500
AVLED-LW,1486,0,0
AVLED-WH,0,0,0
AVLED-WW,14899.77,0,10000
AVLED-WW-G1,1068,0,0
AVO-BKT-V,523,0,0
AVO-CLMP-BASE,705,0,0
AVO-ED-CL,2459,0,0
AVO-EL-CL,1586,0,0
AVO-ELC-CL,1586,0,0
AVO-END-SCREW,3166,0,0
AVO-EXT,7474.75,0,0
AVO-HOLD-BK,610,0,0
AVO-NUT-BK,4839,0,0
AVO-TUBE-2.5M,218.22,0,0
AVWH-T-FR,620,0,250
AVWH-T-MP,645,0,250
AVXF-100,6426,0,3280
AVXF-2700K,140.388,0,0
AVXF-3500K,1682.56,0,0
AVXF-4000K,354.96,0,0
AVXF-60,3498.989,0,2000
AVXF-75,2877,0,2500
AVXF-CP,6016,0,2000
AVXF-IW,9698.006,0,5000
AVXF-KC,5000,0,0
AVXF-MC,4783.6,0,1500
AVXF-WW,10382.23,3014,10000
BB-301,3760.616,1781,5000
C2-12/40PG,1,0,0
C2-12/50PG,16,0,0
C2-120-12V,1,0,0
C2-12DC-RPG,87,0,0
C2-192-24V,0,0,0
C2-24/50PG,0,0,0
C2-240-12V,3,0,0
C2-24DC-RPG,150,0,0
C2-288-24V,1,0,0
C2-288-24V/277,1,0,0
C2-300-12V,1,0,0
C2-300-12V/277,0,0,0
C2-40-24V,181,0,50
C2-480-24V,10,0,0
C2-480-24V/277,0,0,0
C2-50-24V,220,0,50
C2-60-12V,48,0,25
C2-60E/PG,50,0,0
C2-6DC-RPG,71,0,0
C2-6PG,67,0,0
C2-8DC-RPG,115,0,0
C2-8PG,65,0,0
C2-96-24V,140,0,50
C2-96-24V/277,9,0,0
CABLE-BK,57547.955,0,50000
CABLE-CAT5-25,84,0,50
CABLE-CAT5-50,100,0,25
CABLE-DMX,1399.83,0,300
CABLE-GR,800,0,0
CABLE-KS,0,0,0
CABLE-WH,63832.563,0,50000
CC-40-DIODE,20,0,0
CC-BOX,84,0,0
CC-LENS,121,0,0
CL-100,2747.8,0,1000
CL-102,0,0,0
CL-150,3268.997,0,1000
CL-201,6017.238,0,0
CL-202,9137.842,0,5000
CL-203,11133.59,73,10000
CL-30,3039.24,0,3280
CL-300,613,0,0
CL-38,0,0,0
CL-50,5480.52,0,3280
CL-60,111.11,0,0
CL-80,2034.44,0,1000
CL-AM,2000,0,0
CL-BL,1000,0,0
CL-GR,1000,0,0
CL-IW,250,0,0
CL-RD,1000,0,0
CL-SO,1000,0,0
CL-WH,1000,0,0
CLED-2000K,11566.43,0,10000
CLED-2500K,32734.53,0,20000
CLED-3000K,7949.45,4000,10000
CLED-5000K,6825.86,0,5000
